code,epoch,timestamp,Reaction Time
39,1,1.994140625,0.67578125
21,1,2.78515625,0.693359375
33,1,3.6015625,0.66796875
49,1,4.384765625,0.669921875
94,1,5.16796875,0.685546875
85,1,5.962890625,0.67578125
90,1,6.751953125,0.703125
34,1,7.5625,0.658203125
77,1,8.330078125,0.69140625
59,1,9.130859375,0.70703125
24,1,9.94921875,0.70703125
38,1,10.76953125,0.703125
58,1,11.587890625,0.701171875
26,1,12.3984375,0.673828125
78,1,13.1875,0.685546875
56,1,13.98828125,0.71875
46,1,14.8203125,0.669921875
109,1,15.60546875,0.66796875
89,1,16.388671875,0.685546875
61,1,17.18359375,0.70703125
9,1,18.005859375,0.703125
37,1,18.81640625,0.658203125
75,1,19.583984375,0.69140625
45,1,20.388671875,0.669921875
120,1,21.95703125,0.66796875
5,1,22.734375,0.658203125
17,1,24.32421875,0.71875
119,1,25.974609375,0.703125
62,1,26.791015625,0.669921875
100,1,27.57421875,0.669921875
66,1,28.353515625,0.673828125
104,1,29.13671875,0.673828125
64,1,29.92578125,0.685546875
48,1,30.7265625,0.685546875
68,1,31.51953125,0.67578125
114,1,32.310546875,0.66796875
11,1,33.09375,0.669921875
115,1,33.876953125,0.669921875
94,1,34.654296875,0.69140625
82,1,35.4609375,0.669921875
6,1,36.244140625,0.669921875
101,1,37.021484375,0.69140625
44,1,37.822265625,0.69140625
21,1,38.62890625,0.71875
118,1,39.45703125,0.673828125
20,1,40.24609375,0.71875
56,1,41.078125,0.669921875
69,1,41.857421875,0.69140625
42,1,42.6640625,0.66796875
15,1,43.447265625,0.66796875
12,1,44.224609375,0.658203125
76,1,45.796875,0.712890625
120,1,46.630859375,0.669921875
111,1,47.4140625,0.703125
2,1,49.015625,0.66796875
79,1,49.79296875,0.673828125
115,1,50.58203125,0.712890625
99,1,51.4140625,0.669921875
60,1,52.19921875,0.669921875
81,1,52.982421875,0.703125
113,1,53.798828125,0.6875
84,1,54.59375,0.658203125
10,1,55.3671875,0.66796875
66,1,56.150390625,0.669921875
8,1,56.93359375,0.6875
76,1,57.73046875,0.689453125
41,1,58.53515625,0.71875
51,1,59.361328125,0.69140625
98,1,60.16796875,0.71875
98,1,61.818359375,0.685546875
117,1,63.396484375,0.658203125
72,1,64.1640625,0.673828125
40,1,64.953125,0.685546875
82,1,66.5546875,0.685546875
65,1,67.353515625,0.71875
51,1,68.181640625,0.650390625
55,1,68.955078125,0.71875
22,1,69.78125,0.67578125
14,1,70.56640625,0.673828125
97,1,71.35546875,0.685546875
112,1,72.15625,0.685546875
117,1,73.75,0.658203125
53,1,74.5234375,0.66796875
25,1,75.306640625,0.677734375
28,1,76.1015625,0.658203125
63,1,76.873046875,0.703125
93,1,77.69140625,0.71875
85,1,78.51953125,0.70703125
13,1,79.341796875,0.701171875
10,1,80.15234375,0.673828125
52,1,80.94140625,0.669921875
68,1,81.724609375,0.703125
87,1,82.53515625,0.67578125
89,1,83.3203125,0.69140625
13,1,84.125,0.70703125
103,1,85.775390625,0.669921875
23,1,86.5546875,0.673828125
106,1,87.337890625,0.681640625
31,1,88.14453125,0.66796875
74,1,88.927734375,0.71875
29,1,89.759765625,0.720703125
59,1,90.587890625,0.67578125
67,1,91.37109375,0.693359375
104,1,92.177734375,0.685546875
75,1,92.978515625,0.701171875
41,1,93.791015625,0.673828125
43,1,94.578125,0.720703125
4,1,95.40625,0.69140625
32,1,96.212890625,0.703125
52,1,97.029296875,0.71875
40,1,98.646484375,0.703125
49,1,99.458984375,0.70703125
101,1,100.28125,0.701171875
102,1,101.09765625,0.669921875
15,1,101.880859375,0.669921875
106,1,102.6640625,0.720703125
16,1,103.4921875,0.658203125
35,1,104.265625,0.669921875
73,1,105.048828125,0.703125
17,1,105.859375,0.68359375
28,1,106.65625,0.712890625
78,1,107.4765625,0.69140625
108,1,109.048828125,0.669921875
7,1,109.833984375,0.701171875
48,1,110.650390625,0.669921875
57,1,111.4296875,0.70703125
67,1,112.25,0.703125
90,1,113.0625,0.69140625
16,1,113.8671875,0.703125
99,1,114.6796875,0.673828125
22,1,115.462890625,0.673828125
80,1,116.251953125,0.71875
39,1,117.080078125,0.658203125
80,1,117.845703125,0.67578125
30,1,118.63671875,0.71875
84,1,119.462890625,0.693359375
72,1,120.26953125,0.71875
105,1,121.904296875,0.66796875
60,1,122.6875,0.71875
96,1,123.513671875,0.69921875
6,1,124.337890625,0.71875
63,1,125.166015625,0.70703125
116,1,125.98828125,0.71875
112,1,126.81640625,0.673828125
54,1,127.60546875,0.71875
91,1,128.439453125,0.703125
43,1,130.04296875,0.69921875
18,1,131.65625,0.69921875
116,1,132.470703125,0.705078125
25,1,133.2890625,0.720703125
1,1,134.1171875,0.67578125
2,1,134.90234375,0.69140625
29,1,135.708984375,0.71875
118,1,136.541015625,0.703125
95,1,137.359375,0.66796875
19,1,138.13671875,0.70703125
83,1,138.953125,0.67578125
96,1,139.759765625,0.701171875
100,1,140.5703125,0.69140625
14,1,141.376953125,0.685546875
27,1,142.17578125,0.720703125
64,1,143.009765625,0.685546875
5,1,143.810546875,0.685546875
105,1,144.611328125,0.71875
50,1,145.443359375,0.720703125
107,1,146.271484375,0.658203125
55,1,147.0390625,0.69140625
88,1,147.845703125,0.685546875
74,1,148.638671875,0.67578125
65,1,149.421875,0.658203125
73,1,150.19140625,0.65625
91,1,151.74609375,0.669921875
9,1,152.5234375,0.69140625
36,1,153.328125,0.6875
108,1,154.923828125,0.708984375
45,1,155.748046875,0.66796875
20,1,156.525390625,0.708984375
19,1,157.34375,0.65625
110,1,158.111328125,0.689453125
69,1,159.69140625,0.66015625
81,1,161.265625,0.685546875
95,1,162.06640625,0.685546875
61,1,162.859375,0.708984375
58,1,163.68359375,0.66796875
33,1,164.466796875,0.66796875
7,1,165.24609375,0.70703125
103,1,166.06640625,0.6875
37,1,166.859375,0.66015625
70,1,167.62890625,0.673828125
38,1,168.412109375,0.69140625
119,1,169.21875,0.685546875
110,1,170.01171875,0.658203125
54,1,170.779296875,0.673828125
4,1,171.5625,0.681640625
24,1,172.359375,0.6953125
71,1,173.169921875,0.685546875
32,1,173.96875,0.669921875
57,1,174.75390625,0.685546875
92,1,175.552734375,0.703125
93,1,176.369140625,0.6875
35,1,177.169921875,0.703125
8,1,177.982421875,0.69140625
107,1,178.787109375,0.71875
97,1,179.62109375,0.66796875
46,1,181.171875,0.703125
113,1,181.98828125,0.685546875
23,1,182.783203125,0.673828125
42,1,183.568359375,0.70703125
26,1,184.388671875,0.720703125
30,1,185.22265625,0.708984375
53,1,186.046875,0.701171875
27,1,186.865234375,0.677734375
3,1,187.65625,0.703125
62,1,188.46875,0.69140625
18,1,189.2734375,0.703125
86,1,190.0859375,0.658203125
31,1,190.8515625,0.693359375
12,1,192.46875,0.69140625
34,1,193.26953125,0.69140625
92,1,194.076171875,0.66796875
