code,epoch,timestamp
Epoch,1,0.001953125
CM_in_range,1,0.001953125
198,1,0.4375
201,1,0.966796875
1,1,1.728515625
25,1,1.75390625
252,1,2.416015625
1,1,2.521484375
7,1,2.54296875
252,1,3.181640625
151,1,3.291015625
7,1,3.318359375
254,1,3.900390625
1,1,4.08984375
9,1,4.11328125
252,1,4.78125
1,1,4.888671875
38,1,4.91015625
252,1,5.546875
1,1,5.662109375
45,1,5.689453125
252,1,6.380859375
1,1,6.49609375
56,1,6.521484375
252,1,7.181640625
1,1,7.2890625
54,1,7.310546875
252,1,7.998046875
151,1,8.10546875
54,1,8.12890625
254,1,8.74609375
1,1,8.896484375
119,1,8.921875
252,1,9.59765625
1,1,9.712890625
40,1,9.74609375
252,1,10.380859375
1,1,10.4921875
33,1,10.517578125
252,1,11.1484375
1,1,11.26171875
36,1,11.2890625
252,1,11.931640625
1,1,12.046875
24,1,12.0703125
252,1,12.71484375
1,1,12.830078125
21,1,12.85546875
252,1,13.5
1,1,13.607421875
55,1,13.62890625
252,1,14.265625
1,1,14.375
15,1,14.396484375
252,1,15.05078125
1,1,15.1640625
74,1,15.189453125
252,1,15.884765625
151,1,15.9921875
74,1,16.013671875
254,1,16.515625
1,1,16.798828125
48,1,16.830078125
252,1,17.5
151,1,17.607421875
48,1,17.625
254,1,18.1484375
1,1,18.416015625
97,1,18.447265625
252,1,19.119140625
1,1,19.232421875
82,1,19.263671875
252,1,19.91796875
1,1,20.02734375
10,1,20.048828125
252,1,20.71875
1,1,20.83203125
2,1,20.857421875
252,1,21.501953125
1,1,21.6171875
98,1,21.642578125
252,1,22.302734375
1,1,22.41015625
76,1,22.431640625
252,1,23.0859375
1,1,23.193359375
19,1,23.21484375
252,1,23.853515625
1,1,23.962890625
6,1,23.98828125
252,1,24.63671875
1,1,24.75
52,1,24.783203125
252,1,25.46875
1,1,25.583984375
8,1,25.609375
252,1,26.25390625
1,1,26.36328125
96,1,26.388671875
252,1,27.052734375
1,1,27.16796875
70,1,27.193359375
252,1,27.88671875
1,1,27.99609375
12,1,28.01953125
252,1,28.6875
1,1,28.802734375
27,1,28.83203125
252,1,29.48828125
1,1,29.59765625
39,1,29.62109375
252,1,30.287109375
1,1,30.396484375
116,1,30.41796875
252,1,31.072265625
151,1,31.185546875
116,1,31.2109375
254,1,31.703125
1,1,32.01953125
111,1,32.048828125
252,1,32.72265625
1,1,32.8359375
11,1,32.861328125
252,1,33.505859375
151,1,33.61328125
11,1,33.634765625
254,1,34.0546875
1,1,34.4375
66,1,34.46875
252,1,35.10546875
151,1,35.220703125
66,1,35.251953125
254,1,35.837890625
1,1,36.021484375
102,1,36.046875
252,1,36.689453125
1,1,36.798828125
100,1,36.822265625
252,1,37.505859375
1,1,37.62109375
47,1,37.65234375
252,1,38.306640625
151,1,38.416015625
47,1,38.435546875
254,1,38.97265625
1,1,39.220703125
64,1,39.25390625
252,1,39.94140625
151,1,40.048828125
64,1,40.0703125
254,1,40.623046875
1,1,40.85546875
36,1,40.890625
252,1,41.57421875
1,1,41.689453125
107,1,41.71484375
252,1,42.390625
1,1,42.505859375
26,1,42.5390625
252,1,43.17578125
151,1,43.2890625
26,1,43.322265625
254,1,43.90625
1,1,44.10546875
57,1,44.138671875
252,1,44.80859375
1,1,44.921875
94,1,44.94921875
252,1,45.642578125
1,1,45.75
8,1,45.7734375
252,1,46.443359375
1,1,46.552734375
107,1,46.578125
252,1,47.2421875
1,1,47.357421875
5,1,47.3828125
252,1,48.02734375
1,1,48.134765625
58,1,48.154296875
252,1,48.810546875
1,1,48.919921875
32,1,48.943359375
252,1,49.611328125
1,1,49.724609375
53,1,49.75
252,1,50.39453125
1,1,50.5078125
23,1,50.533203125
252,1,51.2109375
1,1,51.318359375
115,1,51.33984375
252,1,52.02734375
1,1,52.142578125
58,1,52.173828125
252,1,52.828125
1,1,52.935546875
37,1,52.95703125
252,1,53.611328125
1,1,53.720703125
65,1,53.7421875
252,1,54.412109375
1,1,54.525390625
